period,band,mcc,description,volume_mn,value_cr
2025-04,Medium Transacting Categories,5813,"Drinking Places (Alcoholic Beverages) Bars, Taverns, Night-Clubs, Cocktail Lounges And Discothques",88.04,3446.07
2025-04,Medium Transacting Categories,5422,Freezer And Locker Meat Provisioners,87.58,2892.29
2025-04,Medium Transacting Categories,5732,Electronics Shops,78.35,11034.98
2025-04,Medium Transacting Categories,5691,Mens And Womens Clothing Shops,77.90,10400.23
2025-04,Medium Transacting Categories,5262,Online Marketplaces,75.76,5170.52
2025-04,All Other Categories,7622,Electronics Repair Shops,71.92,2212.60
2025-04,All Other Categories,7230,Beauty And Barber Shops,71.68,2122.10
2025-04,All Other Categories,5137,"Mens, Womens And Childrens Uniforms And Commercial Clothing",70.21,7402.00
2025-04,All Other Categories,4112,Passenger Railways,68.46,3807.00
2025-04,All Other Categories,5412,Purchase Of Digital Gold,68.40,978.24
2025-04,All Other Categories,5311,Department Stores,64.10,4306.86
2025-04,All Other Categories,4121,Taxi-Cabs And Limousines,61.50,1173.21
2025-04,All Other Categories,5331,Variety Stores,60.50,3435.06
2025-04,All Other Categories,6211,Securities Brokers And Dealers,53.65,48902.82
2025-03,High Transacting Categories,5411,Groceries and supermarkets,2730.18,61999.70
2025-03,High Transacting Categories,5814,Fast food restaurants,1127.01,13740.91
2025-03,High Transacting Categories,5812,Eating places and restaurants,1059.15,17014.22
2025-03,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",896.41,20150.23
2025-03,High Transacting Categories,5541,Service stations (with or without ancillary services),551.45,32535.12
2025-03,High Transacting Categories,5816,Digital Goods: Games,425.95,11202.93
2025-03,High Transacting Categories,5993,Cigar shops and stands,268.96,1725.09
2025-03,High Transacting Categories,5912,Drug stores and pharmacies,254.87,10265.19
2025-03,High Transacting Categories,5462,Bakeries,244.59,3568.38
2025-03,High Transacting Categories,5451,Dairies,169.52,4298.47
2025-03,Medium Transacting Categories,4900,"Utilities electric, gas, water and sanitary",166.31,18590.12
2025-03,Medium Transacting Categories,7322,Debt collection agencies,139.49,88856.37
2025-03,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",108.72,4877.55
2025-03,Medium Transacting Categories,5422,Freezer and locker meat provisioners,98.46,3305.09
2025-03,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",97.95,1851.47
2025-03,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",95.69,3823.52
2025-03,Medium Transacting Categories,9399,Government services not elsewhere classified,91.89,10134.63
2025-03,Medium Transacting Categories,5262,Online Marketplaces,80.73,5321.63
2025-03,Medium Transacting Categories,5691,Mens and womens clothing shops,78.82,10443.54
2025-03,Medium Transacting Categories,5732,Electronics shops,76.10,10028.83
2025-03,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",73.80,7628.34
2025-03,All Other Categories,7230,Beauty and barber shops,73.33,2063.09
2025-03,All Other Categories,7622,Electronics repair shops,72.59,2219.90
2025-03,All Other Categories,4112,Passenger railways,69.01,3797.87
2025-03,All Other Categories,5311,Department stores,68.34,4532.07
2025-03,All Other Categories,5412,Purchase of digital gold,64.96,866.43
2025-03,All Other Categories,5331,Variety stores,63.83,3640.12
2025-03,All Other Categories,4121,Taxi-cabs and limousines,62.12,1216.14
2025-03,All Other Categories,5651,Family clothing shops,52.70,4906.57
2025-02,High Transacting Categories,5411,Groceries and supermarkets,2337.30,53191.68
2025-02,High Transacting Categories,5814,Fast food restaurants,1048.77,12706.77
2025-02,High Transacting Categories,5812,Eating places and restaurants,950.10,14811.62
2025-02,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",774.88,17922.78
2025-02,High Transacting Categories,5541,Service stations (with or without ancillary services),494.38,29937.81
2025-02,High Transacting Categories,5816,Digital Goods: Games,329.18,9819.53
2025-02,High Transacting Categories,5993,Cigar shops and stands,244.61,1509.33
2025-02,High Transacting Categories,5912,Drug stores and pharmacies,235.26,9137.81
2025-02,High Transacting Categories,5462,Bakeries,219.33,3183.22
2025-02,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",153.13,16368.03
2025-02,Medium Transacting Categories,5451,Dairies,137.96,3593.66
2025-02,Medium Transacting Categories,7322,Debt collection agencies,123.78,76001.18
2025-02,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",91.13,3887.16
2025-02,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",84.99,3222.43
2025-02,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",81.34,1583.89
2025-02,Medium Transacting Categories,5422,Freezer and locker meat provisioners,80.67,2610.00
2025-02,Medium Transacting Categories,9399,Government services not elsewhere classified,76.08,7907.32
2025-02,Medium Transacting Categories,7230,Beauty and barber shops,66.56,1987.42
2025-02,Medium Transacting Categories,4112,Passenger railways,65.82,3460.95
2025-02,Medium Transacting Categories,5262,Online Marketplaces,63.81,4526.55
2025-02,All Other Categories,7622,Electronics repair shops,63.66,1927.79
2025-02,All Other Categories,5732,Electronics shops,61.64,8001.32
2025-02,All Other Categories,5691,Mens and womens clothing shops,60.92,8076.66
2025-02,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",59.42,5889.72
2025-02,All Other Categories,5331,Variety stores,58.51,3266.88
2025-02,All Other Categories,4121,Taxi-cabs and limousines,56.22,1099.61
2025-02,All Other Categories,6211,Securities brokers and dealers,55.96,44593.96
2025-02,All Other Categories,5311,Department stores,55.02,3673.15
2025-02,All Other Categories,5412,Purchase of digital gold,53.13,813.93
2025-01,High Transacting Categories,5411,Groceries and supermarkets,2421.74,56040.86
2025-01,High Transacting Categories,5814,Fast food restaurants,1116.13,13324.51
2025-01,High Transacting Categories,5812,Eating places and restaurants,1004.01,16271.84
2025-01,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",827.32,19568.10
2025-01,High Transacting Categories,5541,Service stations (with or without ancillary services),510.96,30520.41
2025-01,High Transacting Categories,5816,Digital Goods: Games,321.59,10138.84
2025-01,High Transacting Categories,5993,Cigar shops and stands,258.97,1600.98
2025-01,High Transacting Categories,5912,Drug stores and pharmacies,246.13,9634.51
2025-01,High Transacting Categories,5462,Bakeries,231.41,3439.06
2025-01,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",161.92,17723.22
2025-01,Medium Transacting Categories,5451,Dairies,139.33,3662.14
2025-01,Medium Transacting Categories,7322,Debt collection agencies,128.18,75855.43
