period,band,mcc,description,volume_mn,value_cr
2023-09,All Other Categories,5399,Miscellaneous general merchandise,40.39,4019.20
2023-09,All Other Categories,7230,Beauty and barber shops,37.73,1100.37
2023-09,All Other Categories,6211,Securities brokers and dealers,36.51,31775.43
2023-09,All Other Categories,9399,Government services not elsewhere classified,33.50,4098.66
2023-09,All Other Categories,5722,Household appliance shops,33.34,3109.94
2023-09,All Other Categories,4121,Taxi-cabs and limousines,31.32,700.91
2023-09,All Other Categories,5943,"Stationery, office and school supply shops",30.15,891.12
2023-09,All Other Categories,4899,Cable and other pay television services,27.86,1180.96
2023-08,High Transacting Categories,5411,Groceries and supermarkets,1189.24,32386.44
2023-08,High Transacting Categories,5812,Eating places and restaurants,760.64,12217.60
2023-08,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",541.23,11579.79
2023-08,High Transacting Categories,5814,Fast food restaurants,400.27,5071.20
2023-08,High Transacting Categories,5311,Department stores,381.99,7619.69
2023-08,High Transacting Categories,5541,Service stations (with or without ancillary services),303.64,18309.84
2023-08,High Transacting Categories,5816,Digital Goods: Games,241.73,8970.19
2023-08,High Transacting Categories,5912,Drug stores and pharmacies,165.90,6104.89
2023-08,High Transacting Categories,5462,Bakeries,138.79,2013.94
2023-08,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",90.80,11660.11
2023-08,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",88.77,3235.33
2023-08,Medium Transacting Categories,5451,Dairies,85.97,1731.81
2023-08,Medium Transacting Categories,6540,Debit card to wallet credit (Wallet top up),80.90,5620.39
2023-08,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,78.22,2710.43
2023-08,Medium Transacting Categories,7322,Debt collection agencies,68.19,57104.10
2023-08,Medium Transacting Categories,6012,Financial institutions merchandise and services,60.68,14586.77
2023-08,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",45.79,4500.10
2023-08,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",45.71,838.21
2023-08,Medium Transacting Categories,5399,Miscellaneous general merchandise,45.22,4316.64
2023-08,Medium Transacting Categories,5993,Cigar shops and stands,43.24,331.55
2023-08,All Other Categories,5732,Electronics shops,42.06,5246.30
2023-08,All Other Categories,7230,Beauty and barber shops,38.14,1114.86
2023-08,All Other Categories,5422,Freezer and locker meat provisioners,37.21,1168.37
2023-08,All Other Categories,6211,Securities brokers and dealers,35.36,29618.61
2023-08,All Other Categories,5722,Household appliance shops,35.32,3311.80
2023-08,All Other Categories,9399,Government services not elsewhere classified,34.93,4213.05
2023-08,All Other Categories,5943,"Stationery, office and school supply shops",31.43,939.13
2023-08,All Other Categories,4121,Taxi-cabs and limousines,31.31,698.26
2023-08,All Other Categories,4899,Cable and other pay television services,29.19,1199.46
2023-07,High Transacting Categories,5411,Groceries and supermarkets,1105.50,31148.53
2023-07,High Transacting Categories,5812,Eating places and restaurants,704.92,11400.18
2023-07,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",536.89,11089.90
2023-07,High Transacting Categories,5814,Fast food restaurants,363.02,4630.31
2023-07,High Transacting Categories,5311,Department stores,343.67,7032.92
2023-07,High Transacting Categories,5541,Service stations (with or without ancillary services),285.63,17959.10
2023-07,High Transacting Categories,5816,Digital Goods: Games,212.05,8160.71
2023-07,High Transacting Categories,5912,Drug stores and pharmacies,149.38,5595.82
2023-07,High Transacting Categories,5462,Bakeries,131.86,1902.37
2023-07,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",92.90,12360.49
2023-07,Medium Transacting Categories,6540,Debit card to wallet credit (Wallet top up),91.70,5944.14
2023-07,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",84.32,3186.60
2023-07,Medium Transacting Categories,5451,Dairies,80.66,1568.53
2023-07,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,71.06,2511.96
2023-07,Medium Transacting Categories,7322,Debt collection agencies,66.41,55027.89
2023-07,Medium Transacting Categories,6012,Financial institutions merchandise and services,48.16,13232.60
2023-07,Medium Transacting Categories,5399,Miscellaneous general merchandise,45.14,4348.47
2023-07,Medium Transacting Categories,6211,Securities brokers and dealers,42.10,32257.63
2023-07,Medium Transacting Categories,5732,Electronics shops,40.30,5163.26
2023-07,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",39.99,699.88
2023-07,All Other Categories,5422,Freezer and locker meat provisioners,39.48,1263.77
2023-07,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",39.04,3727.59
2023-07,All Other Categories,5993,Cigar shops and stands,35.70,273.65
2023-07,All Other Categories,7230,Beauty and barber shops,34.91,1008.97
2023-07,All Other Categories,5331,Variety stores,33.57,2030.41
2023-07,All Other Categories,5722,Household appliance shops,30.63,3061.74
2023-07,All Other Categories,9399,Government services not elsewhere classified,30.17,4843.81
2023-07,All Other Categories,5262,Online Marketplaces,29.38,2948.42
2023-07,All Other Categories,4899,Cable and other pay television services,28.87,1191.74
2023-06,High Transacting Categories,5411,Groceries and supermarkets,1012.26,28977.99
2023-06,High Transacting Categories,5812,Eating places and restaurants,683.72,11239.18
2023-06,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",500.42,10596.07
2023-06,High Transacting Categories,5814,Fast food restaurants,319.27,4112.76
2023-06,High Transacting Categories,5311,Department stores,308.29,6730.08
2023-06,High Transacting Categories,5541,Service stations (with or without ancillary services),269.75,18072.85
2023-06,High Transacting Categories,5816,Digital Goods: Games,204.87,7385.91
2023-06,High Transacting Categories,5462,Bakeries,131.74,1855.44
2023-06,High Transacting Categories,5912,Drug stores and pharmacies,125.41,4863.88
2023-06,High Transacting Categories,6540,Debit card to wallet credit (Wallet top up),94.43,5780.17
2023-06,Medium Transacting Categories,5451,Dairies,85.29,1621.76
2023-06,Medium Transacting Categories,4900,"Utilities electric, gas, water and sanitary",82.16,10655.19
2023-06,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",73.08,2973.95
2023-06,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,66.65,2492.24
2023-06,Medium Transacting Categories,7322,Debt collection agencies,62.44,48094.00
2023-06,Medium Transacting Categories,5331,Variety stores,51.69,2882.78
2023-06,Medium Transacting Categories,6012,Financial institutions merchandise and services,44.87,12082.96
2023-06,Medium Transacting Categories,5422,Freezer and locker meat provisioners,41.58,1408.50
2023-06,Medium Transacting Categories,5399,Miscellaneous general merchandise,41.36,4047.83
2023-06,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",39.58,4058.10
2023-06,All Other Categories,5732,Electronics shops,38.77,5453.95
2023-06,All Other Categories,5441,"Candy, nut and confectionery shops",37.75,657.61
2023-06,All Other Categories,6211,Securities brokers and dealers,34.17,21168.67
2023-06,All Other Categories,7230,Beauty and barber shops,32.58,991.00
2023-06,All Other Categories,5262,Online Marketplaces,31.82,3067.87
2023-06,All Other Categories,9399,Government services not elsewhere classified,28.39,3867.92
2023-06,All Other Categories,4899,Cable and other pay television services,27.18,1084.41
2023-06,All Other Categories,5943,"Stationery, office and school supply shops",26.00,1030.80
2023-06,All Other Categories,4121,Taxi-cabs and limousines,25.90,632.39
2023-05,High Transacting Categories,5411,Groceries and supermarkets,1003.54,29411.79
2023-05,High Transacting Categories,5812,Eating places and restaurants,676.73,11174.19
2023-05,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",526.06,10499.40
2023-05,High Transacting Categories,5816,Digital Goods: Games,325.68,8116.78
2023-05,High Transacting Categories,5814,Fast food restaurants,300.10,3779.21
2023-05,High Transacting Categories,5311,Department stores,268.30,5799.48
2023-05,High Transacting Categories,5541,Service stations (with or without ancillary services),263.18,18012.53
2023-05,High Transacting Categories,5462,Bakeries,128.49,1843.19
2023-05,High Transacting Categories,5912,Drug stores and pharmacies,119.20,4644.23
2023-05,High Transacting Categories,6540,Debit card to wallet credit (Wallet top up),98.25,5547.62
2023-05,Medium Transacting Categories,5451,Dairies,83.84,1630.22
2023-05,Medium Transacting Categories,4900,"Utilities electric, gas, water and sanitary",75.76,9236.43
2023-05,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",68.33,2848.07
2023-05,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,65.37,2390.48
2023-05,Medium Transacting Categories,7322,Debt collection agencies,59.85,45479.77
2023-05,Medium Transacting Categories,5331,Variety stores,52.24,3060.45
2023-05,Medium Transacting Categories,5262,Online Marketplaces,48.18,4409.36
2023-05,Medium Transacting Categories,6012,Financial institutions merchandise and services,42.93,12230.02
2023-05,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",39.95,4453.98
2023-05,Medium Transacting Categories,5732,Electronics shops,39.37,5516.04
2023-05,All Other Categories,5422,Freezer and locker meat provisioners,37.45,1236.17
2023-05,All Other Categories,5399,Miscellaneous general merchandise,36.01,3634.42
2023-05,All Other Categories,5441,"Candy, nut and confectionery shops",35.48,636.36
2023-05,All Other Categories,7230,Beauty and barber shops,31.68,1014.12
2023-05,All Other Categories,6211,Securities brokers and dealers,29.26,20345.86
2023-05,All Other Categories,4899,Cable and other pay television services,28.71,1168.92
2023-05,All Other Categories,4784,Tolls and bridge fees,26.89,1990.11
2023-05,All Other Categories,4121,Taxi-cabs and limousines,25.43,655.47
2023-05,All Other Categories,9399,Government services not elsewhere classified,24.63,3259.25
2023-04,High Transacting Categories,5411,Groceries and supermarkets,949.92,27967.29
2023-04,High Transacting Categories,5812,Eating places and restaurants,619.14,10208.54
2023-04,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",497.22,9818.36
2023-04,High Transacting Categories,5816,Digital Goods: Games,340.88,8086.72
2023-04,High Transacting Categories,5814,Fast food restaurants,278.07,3486.52
2023-04,High Transacting Categories,5311,Department stores,240.70,5174.80
2023-04,High Transacting Categories,5541,Service stations (with or without ancillary services),237.72,16450.29
2023-04,High Transacting Categories,5912,Drug stores and pharmacies,117.08,4429.68
2023-04,High Transacting Categories,5462,Bakeries,117.00,1657.14
2023-04,High Transacting Categories,6540,Debit card to wallet credit (Wallet top up),79.45,4722.89
2023-04,Medium Transacting Categories,5451,Dairies,79.16,1552.40
2023-04,Medium Transacting Categories,4900,"Utilities electric, gas, water and sanitary",64.00,7380.44
2023-04,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",62.87,2584.51
2023-04,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,59.64,2147.52
2023-04,Medium Transacting Categories,7322,Debt collection agencies,58.04,44817.78
2023-04,Medium Transacting Categories,5399,Miscellaneous general merchandise,52.79,4964.33
2023-04,Medium Transacting Categories,5331,Variety stores,50.49,2986.13
2023-04,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",41.02,4765.99
2023-04,Medium Transacting Categories,5262,Online Marketplaces,40.17,3337.30
2023-04,Medium Transacting Categories,6012,Financial institutions merchandise and services,37.98,11826.16
2023-04,All Other Categories,5732,Electronics shops,36.65,5135.00
2023-04,All Other Categories,5422,Freezer and locker meat provisioners,36.38,1182.80
2023-04,All Other Categories,5441,"Candy, nut and confectionery shops",30.88,553.46
2023-04,All Other Categories,7230,Beauty and barber shops,30.33,969.90
2023-04,All Other Categories,4899,Cable and other pay television services,28.25,1175.79
2023-04,All Other Categories,6211,Securities brokers and dealers,27.62,19613.99
2023-04,All Other Categories,4784,Tolls and bridge fees,24.07,1858.33
2023-04,All Other Categories,4121,Taxi-cabs and limousines,23.46,592.95
2023-04,All Other Categories,9399,Government services not elsewhere classified,23.46,3297.00
2023-03,High Transacting Categories,5411,Groceries and supermarkets,933.01,28892.81
2023-03,High Transacting Categories,5812,Eating places and restaurants,584.82,9583.79
2023-03,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",486.58,9205.96
2023-03,High Transacting Categories,5814,Fast food restaurants,273.73,3296.79
2023-03,High Transacting Categories,5816,Digital Goods: Games,237.74,7613.77
2023-03,High Transacting Categories,5311,Department stores,233.37,4863.20
2023-03,High Transacting Categories,5541,Service stations (with or without ancillary services),230.83,15673.32
2023-03,High Transacting Categories,5912,Drug stores and pharmacies,121.20,4604.47
2023-03,High Transacting Categories,5462,Bakeries,115.19,1639.71
2023-03,High Transacting Categories,6540,Debit card to wallet credit (Wallet top up),75.29,4773.32
2023-03,Medium Transacting Categories,5451,Dairies,72.54,1493.22
2023-03,Medium Transacting Categories,4900,"Utilities electric, gas, water and sanitary",71.40,8049.21
2023-03,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,67.98,2858.58
2023-03,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",60.80,2549.35
2023-03,Medium Transacting Categories,7322,Debt collection agencies,56.84,45878.79
2023-03,Medium Transacting Categories,5399,Miscellaneous general merchandise,55.06,4345.14
2023-03,Medium Transacting Categories,5331,Variety stores,46.78,2807.09
2023-03,Medium Transacting Categories,6012,Financial institutions merchandise and services,40.11,15636.77
2023-03,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",35.33,3918.47
2023-03,Medium Transacting Categories,5422,Freezer and locker meat provisioners,35.14,1139.09
2023-03,All Other Categories,8999,Professional services not elsewhere classified,34.78,1741.91
2023-03,All Other Categories,5732,Electronics shops,31.55,4417.02
2023-03,All Other Categories,5262,Online Marketplaces,30.75,2668.59
2023-03,All Other Categories,6211,Securities brokers and dealers,30.38,20654.57
2023-03,All Other Categories,4899,Cable and other pay television services,28.39,1169.46
2023-03,All Other Categories,5441,"Candy, nut and confectionery shops",28.03,529.25
2023-03,All Other Categories,7230,Beauty and barber shops,27.90,865.99
2023-03,All Other Categories,9399,Government services not elsewhere classified,26.05,3550.97
2023-03,All Other Categories,4214,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",22.71,1684.32
2023-02,High Transacting Categories,5411,Groceries and supermarkets,756.86,24910.12
2023-02,High Transacting Categories,5812,Eating places and restaurants,502.38,8243.93
2023-02,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",412.16,7977.27
2023-02,High Transacting Categories,5814,Fast food restaurants,249.19,3153.60
2023-02,High Transacting Categories,5816,Digital Goods: Games,201.01,6424.79
2023-02,High Transacting Categories,5541,Service stations (with or without ancillary services),198.65,13745.04
2023-02,High Transacting Categories,5311,Department stores,184.98,4107.39
2023-02,High Transacting Categories,5912,Drug stores and pharmacies,108.39,4047.60
2023-02,High Transacting Categories,5462,Bakeries,99.62,1481.92
2023-02,7299,4900,"Utilities electric, gas, water and sanitary",63.74,7164.98
2023-02,7299,5451,Dairies,58.75,1329.79
2023-02,7299,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",52.45,2154.73
2023-02,7299,7322,Debt collection agencies,48.52,38625.00
2023-02,7299,5399,Miscellaneous general merchandise,37.50,2768.73
2023-02,7299,5331,Variety stores,36.09,2111.95
2023-02,7299,6012,Financial institutions merchandise and services,34.87,14083.38
2023-02,7299,8999,Professional services not elsewhere classified,30.59,1489.55
2023-02,7299,5999,Miscellaneous and speciality retail outlets,30.19,2218.25
2023-02,All Other Categories,5422,Freezer and locker meat provisioners,30.12,964.33
2023-02,All Other Categories,6211,Securities brokers and dealers,28.90,19082.24
2023-02,All Other Categories,5499,Miscellaneous food shops convenience and speciality retail outlets,27.64,612.71
2023-02,All Other Categories,9399,Government services not elsewhere classified,26.43,2608.63
2023-02,All Other Categories,5732,Electronics shops,26.32,3714.55
2023-02,All Other Categories,7230,Beauty and barber shops,26.00,896.91
2023-02,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",25.85,2980.07
2023-02,All Other Categories,4899,Cable and other pay television services,25.61,1093.76
2023-02,All Other Categories,5441,"Candy, nut and confectionery shops",22.39,434.62
2023-01,High Transacting Categories,5411,Groceries and supermarkets,564.02,22344.42
2023-01,High Transacting Categories,5812,Eating places and restaurants,491.54,8375.30
2023-01,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",482.44,9363.92
2023-01,High Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,368.30,15308.25
2023-01,High Transacting Categories,5816,Digital Goods: Games,234.75,7131.77
2023-01,High Transacting Categories,5814,Fast food restaurants,220.82,2762.12
2023-01,High Transacting Categories,5541,Service stations (with or without ancillary services),204.78,14051.71
2023-01,High Transacting Categories,5499,Miscellaneous food shops convenience and speciality retail outlets,149.34,2226.71
2023-01,High Transacting Categories,5311,Department stores,126.90,3872.16
2023-01,High Transacting Categories,5912,Drug stores and pharmacies,102.56,3884.30
2023-01,Medium Transacting Categories,5999,Miscellaneous and speciality retail outlets,96.64,2801.27
2023-01,Medium Transacting Categories,5399,Miscellaneous general merchandise,92.96,5439.95
2023-01,Medium Transacting Categories,5462,Bakeries,90.90,1373.38
2023-01,Medium Transacting Categories,4900,"Utilities electric, gas, water and sanitary",69.43,8019.98
2023-01,Medium Transacting Categories,7322,Debt collection agencies,64.89,56682.85
2023-01,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",52.11,2181.07
2023-01,Medium Transacting Categories,5451,Dairies,49.95,1136.82
2023-01,Medium Transacting Categories,6540,Debit card to wallet credit (Wallet top up),45.32,3864.38
2023-01,Medium Transacting Categories,6012,Financial institutions merchandise and services,36.38,14999.00
2023-01,Medium Transacting Categories,5699,Miscellaneous apparel and accessory shops,32.43,4462.01
2023-01,All Other Categories,8999,Professional services not elsewhere classified,30.30,1505.95
2023-01,All Other Categories,6211,Securities brokers and dealers,29.28,23874.16
2023-01,All Other Categories,5422,Freezer and locker meat provisioners,28.39,947.61
2023-01,All Other Categories,9399,Government services not elsewhere classified,27.39,3057.44
2023-01,All Other Categories,4899,Cable and other pay television services,27.29,1125.39
2023-01,All Other Categories,7399,Business services not elsewhere classified,26.61,2874.68
2023-01,All Other Categories,5732,Electronics shops,25.97,3524.14
2023-01,All Other Categories,4214,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",22.70,1583.58
2023-01,All Other Categories,7230,Beauty and barber shops,22.39,754.48
